idx,canonicalsmiles,precursor,capacity,molwt
158,Cc1cc(F)ncc1B([O][Na])[O][Na],B(C1=CN=C(C=C1C)F)(O)O,134.7683297497526,198.90100000000007
159,CC1(C)CC=C(B([O][Na])[O][Na])CC1,B(C1=CCC(CC1)(C)C)(O)O,135.3939022514953,197.9820000000001
160,CC1CC=C(B([O][Na])[O][Na])CC1,B(C1=CCC(CC1)C)(O)O,145.71800470525696,183.95500000000007
161,[Na][O]B([O][Na])C1=CC2CCC1C2,B(C1=CC2CCC1C2)(O)O,147.33265300763196,181.93900000000005
162,O=C1CCC=C1B([O][Na])[O][Na],B(C1=CCCC1=O)(O)O,157.7874052621527,169.88400000000004
163,Fc1cncc(B([O][Na])[O][Na])c1,B(C1=CC(=CN=C1)F)(O)O,144.99364732496483,184.874
164,Cc1cnccc1B([O][Na])[O][Na],B(C1=C(C=NC=C1)C)(O)O,148.16984901722697,180.9110000000001
165,CCC1CC=C(B([O][Na])[O][Na])CC1,B(C1=CCC(CC1)CC)(O)O,135.3939022514953,197.9820000000001
166,FC(F)(F)CCB([O][Na])[O][Na],B(CCC(F)(F)F)(O)O,144.23298245110573,185.84900000000005
167,[Na][O]B(/C=C/C1CCCC1)[O][Na],B(/C=C/C1CCCC1)(O)O,145.71800470525693,183.9550000000001
168,N#Cc1cncc(B([O][Na])[O][Na])c1,B(C1=CC(=CN=C1)C#N)(O)O,139.68938870186437,191.894
169,COc1ccc(B([O][Na])[O][Na])nc1,B(C1=NC=C(C=C1)OC)(O)O,136.1310017548908,196.91000000000005
170,[Na][O]B([O][Na])c1cncs1,B(C1=CN=CS1)(O)O,155.02336756377807,172.913
171,[Na][O]B([O][Na])c1cscn1,B(C1=CSC=N1)(O)O,155.02336756377807,172.913
172,Cc1ncc(B([O][Na])[O][Na])cn1,B(C1=CN=C(N=C1)C)(O)O,147.36505179003484,181.89900000000003
173,O=Cc1cncc(B([O][Na])[O][Na])c1,B(C1=CC(=CN=C1)C=O)(O)O,137.53915233693982,194.89400000000003
174,O=c1ccc(B([O][Na])[O][Na])c[nH]1,B(C1=CNC(=O)C=C1)(O)O,146.57215572554884,182.88300000000004
175,COc1cnccc1B([O][Na])[O][Na],B(C1=C(C=NC=C1)OC)(O)O,136.1310017548908,196.91000000000005
176,N#Cc1cc(B([O][Na])[O][Na])ccn1,B(C1=CC(=NC=C1)C#N)(O)O,139.68938870186437,191.894
177,Cc1cc(B([O][Na])[O][Na])c(F)cn1,B(C1=CC(=NC=C1F)C)(O)O,134.76832974975267,198.901
178,O=Cc1ccc(B([O][Na])[O][Na])nc1,B(C1=NC=C(C=C1)C=O)(O)O,137.53915233693982,194.89400000000003
179,Cc1c(B([O][Na])[O][Na])cnn1C,B(C1=C(N(N=C1)C)C)(O)O,145.74969717290892,183.91500000000008
180,Fc1cccnc1B([O][Na])[O][Na],B(C1=C(C=CC=N1)F)(O)O,144.99364732496483,184.874
181,[Na][O]B([O][Na])c1ccnnc1,B(C1=CN=NC=C1)(O)O,159.6785381454653,167.872
182,N#Cc1ccc(B([O][Na])[O][Na])cn1,B(C1=CN=C(C=C1)C#N)(O)O,139.68938870186437,191.894
183,O=c1[nH]cccc1B([O][Na])[O][Na],B(C1=CC=CNC1=O)(O)O,146.57215572554887,182.883
184,Cc1cnc(F)cc1B([O][Na])[O][Na],B(C1=CC(=NC=C1C)F)(O)O,134.7683297497526,198.90100000000007
185,CC1(C)CC1B([O][Na])[O][Na],B(C1CC1(C)C)(O)O,169.74458453209942,157.91700000000006
186,N#Cc1sccc1B([O][Na])[O][Na],B(C1=C(SC=C1)C#N)(O)O,136.1137205451319,196.93500000000003
187,Cn1cc(B([O][Na])[O][Na])ccc1=O,B(C1=CN(C(=O)C=C1)C)(O)O,136.13100175489083,196.91000000000005
188,CCC(C)CB([O][Na])[O][Na],B(CC(C)CC)(O)O,167.60490677693497,159.93300000000008
189,Cc1cc(B([O][Na])[O][Na])c[nH]c1=O,B(C1=CNC(=O)C(=C1)C)(O)O,136.13100175489083,196.91000000000005
190,C#Cc1cccc(B([O][Na])[O][Na])c1,B(C1=CC(=CC=C1)C#C)(O)O,141.14278559986707,189.91800000000003
191,Fc1csc(B([O][Na])[O][Na])c1,B(C1=CC(=CS1)F)(O)O,141.14501516760424,189.915
192,[Na][O]B([O][Na])c1ccoc1Cl,B(C1=C(OC=C1)Cl)(O)O,140.8579812905569,190.302
193,Cn1cccc(B([O][Na])[O][Na])c1=O,B(C1=CC=CN(C1=O)C)(O)O,136.13100175489083,196.91000000000005
194,N#Cc1cc(B([O][Na])[O][Na])cs1,B(C1=CSC(=C1)C#N)(O)O,136.1137205451319,196.935
195,Cc1cc(B([O][Na])[O][Na])co1,B(C1=COC(=C1)C)(O)O,157.7874052621527,169.884
196,N#Cc1occc1B([O][Na])[O][Na],B(C1=C(OC=C1)C#N)(O)O,148.20589469364535,180.867
197,Cc1cn(C)nc1B([O][Na])[O][Na],B(C1=NN(C=C1C)C)(O)O,145.74969717290892,183.91500000000008
198,[Na][O]B(C=Cc1ccccc1)[O][Na],B(C=CC1=CC=CC=C1)(O)O,139.66027673864738,191.93400000000003
199,O=Cc1ccoc1B([O][Na])[O][Na],B(C1=C(C=CO1)C=O)(O)O,145.78774633596868,183.867
200,CC(C)CCB([O][Na])[O][Na],B(CCC(C)C)(O)O,167.60490677693497,159.93300000000008
201,FC(F)(F)B([O][Na])[O][Na],B(C(F)(F)F)(O)O,169.87582341364143,157.79500000000002
202,Cc1n[nH]c(C)c1B([O][Na])[O][Na],B(C1=C(NN=C1C)C)(O)O,145.74969717290895,183.91500000000005
203,Cn1cncc1B([O][Na])[O][Na],B(C1=CN=CN1C)(O)O,157.7836901697327,169.88800000000003
204,FC1(B([O][Na])[O][Na])C=CC=CC1,B(C1(CC=CC=C1)F)(O)O,144.19186214002835,185.90200000000004
205,[Na][O]B(/C=C/CCCCl)[O][Na],B(/C=C/CCCCl)(O)O,139.34953657975873,192.36200000000005
206,CCCn1cc(B([O][Na])[O][Na])cn1,B(C1=CN(N=C1)CCC)(O)O,135.4212625696191,197.9420000000001
207,C[Si](C)(C)CB([O][Na])[O][Na],B(C[Si](C)(C)C)(O)O,152.29737032155094,176.0080000000001
208,CCCC=CB([O][Na])[O][Na],B(C=CCCC)(O)O,169.74458453209942,157.91700000000006
209,Fc1ccc(B([O][Na])[O][Na])s1,B(C1=CC=C(S1)F)(O)O,141.1450151676042,189.915
210,N#Cc1ccc(B([O][Na])[O][Na])o1,B(C1=CC=C(O1)C#N)(O)O,148.20589469364538,180.867
211,Fc1cc(B([O][Na])[O][Na])cs1,B(C1=CSC(=C1)F)(O)O,141.14501516760424,189.915
212,[Na][O]B(CCCCCl)[O][Na],B(CCCCCl)(O)O,148.62992473318997,180.35100000000008
213,Cn1ncc(B([O][Na])[O][Na])c1C#N,B(C1=C(N(N=C1)C)C#N)(O)O,137.53632954445686,194.898
214,CCCCCC1CC1B([O][Na])[O][Na],B(C1CC1CCCCC)(O)O,134.02911806895838,199.99800000000013
215,CCCCCC=CB([O][Na])[O][Na],B(C=CCCCCC)(O)O,144.13836326930294,185.9710000000001
216,[Na][O]B(C=CC1CCCCC1)[O][Na],B(C=CC1CCCCC1)(O)O,135.3939022514953,197.9820000000001
217,[Na][O]B([O][Na])c1ccc[nH]1,B(C1=CC=CN1)(O)O,173.08088275913525,154.87300000000002
218,C=CC(C)B([O][Na])[O][Na],B(C(C)C=C)(O)O,186.2919977451911,143.89000000000004
219,CCC/C=C/C=C/B([O][Na])[O][Na],B(/C=C/C=C/CCC)(O)O,145.71800470525693,183.9550000000001
220,CC(C)(C)CCB([O][Na])[O][Na],B(CCC(C)(C)C)(O)O,154.09034005263013,173.96000000000012
221,C=CCB([O][Na])[O][Na],B(CC=C)(O)O,206.414109912412,129.863
222,C=C(CC)B([O][Na])[O][Na],B(C(=C)CC)(O)O,186.2919977451911,143.89000000000004
223,CCCC/C=C\B([O][Na])[O][Na],B(/C=C\CCCC)(O)O,155.89701039614954,171.9440000000001
224,CC1=C(B([O][Na])[O][Na])C(=O)CC1C,B(C1=C(C(CC1=O)C)C)(O)O,135.423999209629,197.93800000000007
225,C/C=C/CB([O][Na])[O][Na],B(C/C=C/C)(O)O,186.2919977451911,143.89000000000004
226,C=C=CB([O][Na])[O][Na],B(C=C=C)(O)O,209.6690227815714,127.84699999999998
227,[Na][O]B(CB([O][Na])[O][Na])[O][Na],B(CB(O)O)(O)O,419.69587054056825,191.607
