Molecule,Cluster,data,Cluster_center,Distance_to_center
2178,8,[-0.29036814687491   -0.0681674484229442  0.2431838643192517 -0.1543399232920858 -0.0101986267405678 -0.1957613889659762 -0.1450396852722662  0.1011294497384725 -0.0847706993173079],[-0.2698492113982845 -0.0661925329785894  0.5352486216415745 -0.0402943302169309 -0.0153910610999193 -0.0825069658269472 -0.0601337998618106  0.0306231399348201 -0.0876278038480917],0.3518166918362596
2179,6,[ 0.4656575513996754  0.2058456931413931  0.0307728484018608  0.2399725925420252 -0.1579104251763192 -0.3173399813722368  0.0288258830853399  0.1061694394283463 -0.0274519874516836],[ 0.6476565875622468  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.43013197360563576
2180,9,[-0.2936497881173265 -0.2855505221409042 -0.1411019069650015 -0.3424894637298074  0.0644537723709511 -0.0010086555276799 -0.1246691719331251  0.1915213779703642 -0.0880609584777325],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.4335159427851522
2181,6,[ 0.7507649995124757  0.0752120877086808  0.0356777205563967  0.3151166451719579  0.132297299808884  -0.2552907035049315 -0.2222942610622084 -0.0247075022596134  0.0771139393686336],[ 0.6476565875622468  0.1388371904268096  0.2573602311412493  0.2508406217721783  0.07710870911567   -0.1282877709909699 -0.0095896602390634  0.0475676706999021 -0.0200279022366281],0.38344889050831127
2182,1,[ 0.5466196364908541 -0.0426619675120441 -0.2216798450048652 -0.1111335451550499  0.1561447607855846 -0.0362176563003017  0.0632497026883367  0.156099056047633   0.0159929424872504],[ 0.4678263661925846 -0.2295474939608273 -0.2617723412107961  0.1050343327743369  0.0161616480675178  0.0344890322665333 -0.0905004460631204 -0.0561098648247797 -0.0169458643663869],0.4287446164455579
2183,9,[-0.2710927548234833  0.051130045662228   0.0345097820565094 -0.3553927355881517  0.0628647237540137  0.1478474286984335 -0.1428916336085783  0.1484261321918544 -0.10974226109376  ],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.33465258096682765
2184,9,[-0.2814599571432164 -0.2415181586502956 -0.1911226025614832 -0.3777442459049946  0.0535437601272027  0.015028419236758  -0.1020580423531037  0.2269849006673626 -0.1848212716833815],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.4751379509270601
2185,7,[ 0.1063342347649322 -0.146530915552208  -0.397862112132453  -0.2817134807842206 -0.0044314486330331  0.2313886972941944 -0.0023768245348689 -0.1972771988718032 -0.0066779576531822],[ 0.2554365028779266  0.1321868948974623 -0.4470945829297879 -0.2684044825366035 -0.0367660445505471 -0.0123786254412718  0.0465250080439559  0.0585309585419557 -0.0136814019089044],0.4804813778084035
2186,9,[-0.3901318197723251 -0.0871514614029901  0.180549833391454  -0.0195882004590566 -0.2559868300304702  0.2034636098688041 -0.1279722657215478  0.0094807688477678 -0.3149981200421946],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.5690623499154828
2187,9,[-0.3915959580301758  0.0226078869311258  0.2678420926801453 -0.2649857962609173  0.0051691414319944  0.0634954385296565 -0.1176138674755504  0.0547560364972208  0.0222993551669455],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.2742644746921281
2188,9,[-0.6038953392152404  0.0474469440450807 -0.0193755075821462 -0.1696578986461335 -0.3190905032492614 -0.1936920913615299 -0.1479400725565892  0.0735904737907112 -0.0095395386781393],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.39766255668259454
2189,9,[-0.3893031704732871 -0.1136544889034054 -0.0675595093242004 -0.1432064381533519 -0.1500502932244199  0.0878305147319526 -0.2041564852305742  0.0949978359962714  0.0564491759449243],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.3456319760465494
2190,4,[-0.4137580357701107 -0.4639867666610124  0.1485043388121749 -0.0436225805787979 -0.1325036692266512  0.1503849851791432 -0.0662368418463333  0.0923604251582295 -0.0152967404170766],[-0.2786373820387271 -0.5298949276051771  0.2399578029211727  0.0008392265522396 -0.0379644834335693  0.1557081415706476 -0.0499799862541629  0.0909830480103215  0.0659874408609354],0.22086502535871988
2191,9,[-0.6396227823609485 -0.1330250782209856  0.2277530542956273 -0.2981209754579385 -0.1066853084500243 -0.2539989798101352 -0.0605695608990676  0.0122464863870196 -0.0305610309021959],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.3585375723266147
2192,9,[-0.756381572873021   0.0110535943253919  0.2068629060955447 -0.6607018733913079  0.014014556215159   0.043181431578218   0.0578213943762176  0.0110556920016238 -0.0467223117926739],[-0.4698656252987644 -0.0107472774944682  0.0566194515372587 -0.3509161971658883 -0.0522437857389853 -0.0382619177426513 -0.1088358436974318  0.0407762039243031 -0.0230874618265789],0.4912704591666843
