Molecule,Cluster,data,Cluster_center,Distance_to_center
302,2,[ 0.0777886329947768 -0.2900648607299841 -0.2903750673924894  0.3874232191114829 -0.3936648688288982  0.0869396965850497],[-0.1145527463774222 -0.1740365072493543 -0.2797990975404669  0.1450364432486706  0.0834525391726452  0.0264468685509433],0.5836277825321388
303,8,[ 0.4732012374322527 -0.274700597798293   0.2780042174928142  0.0947625052494302  0.1073039228798458  0.0087277809793261],[ 0.4393423178376795 -0.5037633302329061  0.3021558605771394 -0.1892323453636002  0.0030849113807262  0.0256666972870739],0.38210086117208314
304,15,[-0.0737535015128047  0.1363252383747917  0.0509610723425664  0.1776594938635756  0.125881226131389   0.0404732877624084],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.14862492590066131
305,8,[ 0.1544089946710707 -0.7706733722147111  0.3303201793960199 -0.5190578293630007 -0.1626022003497552  0.1534311106568029],[ 0.4393423178376795 -0.5037633302329061  0.3021558605771394 -0.1892323453636002  0.0030849113807262  0.0256666972870739],0.5529755982218079
306,0,[ 0.9343076503227132 -0.5729786470533681 -0.0608533752918543  0.3965736368093061  0.2434881591214375  0.0134245053375218],[ 0.9724417924719361 -0.4686871524626799 -0.0285064427585556  0.183295690773507   0.2396283684691412  0.0364331401223931],0.2437396771342796
307,15,[-0.1285397775511649  0.0276886613893514 -0.1830266723240155 -0.0056553921899896 -0.0542226692491389 -0.060728806054714 ],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.2609602939721121
308,1,[-0.1461770558801133  0.1271063764638297  0.1126246605797085 -0.2409663988171369 -0.3349816711813431 -0.049438042785105 ],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.3866208896227597
309,3,[-0.1295874504944305  0.3081789407887375  0.2118061265361207 -0.0105495230390165 -0.2813663943066935 -0.0494058505301575],[ 0.0639790926898942  0.2480501680756977  0.1466715039371099  0.0866744846980939 -0.2594892946840103  0.0026523896721303],0.2407637234941065
310,15,[-0.1832711140208108 -0.0548741147531852  0.09486562503997    0.0749622474837761  0.0582768975125106  0.0219328156744126],[-0.1067892020679116  0.1359224481374006 -0.0682940344861282  0.1532759836625887  0.0696906565038959 -0.0145188267480183],0.27652472433291647
311,16,[ 0.0674282122392452  0.0123871555330757 -0.1939433304051323 -0.2474809424236677  0.0522327385337741 -0.0197914393993803],[-0.031372841610248  -0.066979692467591  -0.2199134346665653 -0.2325062230593571 -0.0836990635868458 -0.0213172459939686],0.18825306439005018
312,3,[-0.1415074050582391  0.2435707235606438  0.0563883815976418  0.2466819052564869 -0.1696468052244708  0.0271434625319782],[ 0.0639790926898942  0.2480501680756977  0.1466715039371099  0.0866744846980939 -0.2594892946840103  0.0026523896721303],0.2909805295121732
313,1,[-0.1231653282647733  0.118007153151832  -0.1552829118289442 -0.1892007602578675  0.0500089075663535 -0.0769751295604223],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.17835705550235853
314,1,[-0.1088805119541888 -0.0444316510642886  0.0704957455477093 -0.0205927252986253  0.0471648708932555  0.0154020349532302],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.27766235562016855
315,3,[ 0.1946609436294525  0.310108015477102   0.2139132625733566 -0.1047590194259406 -0.1697581890773075 -0.0098414549093143],[ 0.0639790926898942  0.2480501680756977  0.1466715039371099  0.0866744846980939 -0.2594892946840103  0.0026523896721303],0.2651507696775807
316,0,[ 0.9938291565119706 -0.5113633611388102 -0.0434438931275296  0.1358617486018592  0.2587677526029309 -0.0100116974688916],[ 0.9724417924719361 -0.4686871524626799 -0.0285064427585556  0.183295690773507   0.2396283684691412  0.0364331401223931],0.08529492004169967
317,1,[ 0.0522346006193023 -0.0881220653953824  0.0481680756705077 -0.3070716107961826  0.240976671100106   0.0009737791046208],[-0.0735234703452033  0.1664843382275226 -0.0080989859467115 -0.1728868384665272  0.0146801919011113 -0.0151728845848084],0.3915122728253371
318,5,[0.9394906930487054 0.2658165956607344 0.0503565199545664 0.042755203124137  0.1484963889570144 0.0803057040027622],[ 0.6277033172914398  0.5766565700872177 -0.0619412743357279 -0.0055764988125866 -0.0700418971040428  0.0884399671887708],0.506561698226098
