NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,RingCount,NumAromaticRings,NumAromaticCarbocycles,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,FractionCSP2
14.0,14.0,9.0,4.0,1.0,1.0,0.0,5.0,237.916,235.9,44.76,-1.1162,54.5545,0.45832511,0.97220093,0.23414812,0.7929515,642.4891433,2175.81384497,2743.94317751,3.41899354,0.04564197,1.0
16.0,16.0,9.0,4.0,1.0,1.0,1.0,4.0,266.332,263.308,44.76,-0.5243,61.6875,0.18828513,0.89496328,0.4461398,0.78042807,1048.32035467,1833.81671849,2349.75751302,3.13402762,0.24064345,1.0
15.0,15.0,9.0,4.0,1.0,1.0,1.0,3.0,239.857,237.841,27.69,-0.6775,51.806,0.26681154,0.92922507,0.36951422,0.89256911,661.17297602,1597.07674876,1789.30318824,2.90472532,0.26171933,1.0
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,221.867,218.843,27.69,-0.8166,51.848,0.12693555,0.84340005,0.5372861,0.963128,881.72073271,1580.55443501,1641.06373629,3.04093642,0.45547026,1.0
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,221.867,218.843,27.69,-0.8166,51.848,0.41363013,0.96427696,0.2648961,0.74614842,615.10383791,1732.59915765,2322.05700747,3.24403796,0.01495463,1.0
16.0,16.0,9.0,4.0,1.0,1.0,1.0,4.0,249.877,246.853,44.76,-1.0386,56.6355,0.11162914,0.83174835,0.55515285,0.75494643,1096.91893345,1491.68835929,1975.88635734,3.02216495,0.27124747,1.0
17.0,17.0,10.0,4.0,1.0,1.0,1.0,3.0,271.874,268.85,27.69,0.0631,56.892,0.11341863,0.83297881,0.55330489,0.74964853,1411.51039052,1912.39350419,2551.05351331,3.28702892,0.33442116,0.85714286
15.0,15.0,9.0,4.0,1.0,1.0,1.0,3.0,239.857,237.841,27.69,-0.6775,51.806,0.38892752,0.96136585,0.27527386,0.82904218,590.77441794,1779.23510559,2146.13339199,3.06826342,0.14303532,1.0
17.0,17.0,10.0,4.0,1.0,1.0,1.0,3.0,271.874,268.85,27.69,0.0631,56.892,0.30009603,0.94014014,0.34078808,0.88177966,901.17183024,2331.75697745,2644.37601423,3.28768554,0.22915834,0.85714286
14.0,14.0,8.0,4.0,1.0,1.0,1.0,3.0,221.867,218.843,27.69,-0.8166,51.848,0.19356699,0.89876283,0.43843514,0.8135234,776.41291695,1440.64653933,1770.87290399,2.99786822,0.30325202,1.0
