0_Molecule,0_x,0_y,1_Molecule,1_x,1_y,2_Molecule,2_x,2_y,3_Molecule,3_x,3_y,4_Molecule,4_x,4_y,5_Molecule,5_x,5_y,6_Molecule,6_x,6_y,7_Molecule,7_x,7_y,8_Molecule,8_x,8_y,9_Molecule,9_x,9_y,10_Molecule,10_x,10_y,11_Molecule,11_x,11_y,12_Molecule,12_x,12_y,13_Molecule,13_x,13_y,14_Molecule,14_x,14_y,15_Molecule,15_x,15_y,16_Molecule,16_x,16_y
703.0,0.9138451189212649,-0.5597758517747772,125,-0.055658310810495,0.1451818362230838,279.0,-0.155836648825259,-0.1455623841141167,407.0,0.3641721545260523,0.4114967192621674,,,,447.0,0.4194549489083655,0.7898798119786946,199.0,-0.1327839842403988,0.3559357875328789,,,,389.0,0.621640971558889,-0.5188035445579255,,,,497.0,0.5655963252945867,-0.1266689535036549,172.0,0.0758580972244241,-0.2644458718262229,524.0,-0.0760240495295317,-0.720027154413659,,,,,,,159.0,0.0547614283533378,0.089359771987231,188.0,-0.2081640039857967,-0.2042032780600049
705.0,1.0025531431149113,-0.4948806250254863,129,-0.0402318402427573,0.3325445715094465,284.0,-0.0424030003006686,-0.374784560610137,411.0,-0.0933578562580376,0.3024056437491128,,,,457.0,0.3714998202557606,0.8439492495438339,218.0,-0.1528430164299627,0.3429342987014646,,,,391.0,0.509356612390682,-0.7275358327030186,,,,498.0,0.4145686847610018,-0.02323123732509,180.0,-0.1745653881259269,-0.1746935747733211,530.0,0.1530666207409847,-0.4066179390004325,,,,,,,197.0,0.0132395507176082,0.0801102144779359,189.0,-0.0572709675110761,-0.0438252800273724
712.0,0.9685756163275088,-0.5721214745310118,130,-0.03937900462922,0.2538618128092864,288.0,-0.0896403075715304,-0.4047413419972916,445.0,-0.065308782731279,-0.0646627771159902,,,,468.0,0.5514903940037843,0.6757098657664468,249.0,-0.0993427402808365,0.3574135135908632,,,,397.0,0.4183545437151605,-0.9257298361024676,,,,510.0,0.2190462614125542,-0.2153969323293335,191.0,-0.1046025904916697,-0.0856183120667984,557.0,-0.3490064684888524,-0.102653092500256,,,,,,,198.0,-0.0847614885410679,0.1836644084493161,193.0,0.0509665587675259,0.1131374245487563
720.0,0.9593518634813476,-0.3247681472873811,131,-0.1285883039143016,0.084333526237217,295.0,-0.1650324367018088,-0.2456454825637228,476.0,0.1830836660693876,0.4286184803319068,,,,475.0,0.8069249731788499,0.3670656803836073,255.0,-0.1712308591639804,0.3064831170159855,,,,415.0,0.4703930689608197,-0.5421593540195772,,,,573.0,0.404666618974047,0.1779745182150516,202.0,-0.1133449375198487,-0.2808246527428955,583.0,0.1490955047294791,-0.2794498559883872,,,,,,,200.0,-0.1974000978262477,0.1873215706401973,204.0,0.0212783635593602,-0.0394336788388335
757.0,0.9120512975479301,-0.5246342011016926,137,-0.1745438301971105,0.176421292559194,296.0,-0.1722851987854899,-0.2072325716766591,485.0,0.2048232669403962,0.2924049714386613,,,,492.0,0.4139426518627261,0.6816145492772705,261.0,-0.1565319611446622,0.342393066849927,,,,452.0,0.6014362828329312,-0.0777556883719107,,,,594.0,0.4335307256078331,0.2877712898108107,212.0,-0.075033835342045,-0.2999067151247388,585.0,-0.0263582213729542,-0.5904348133870442,,,,,,,203.0,-0.1367950144322057,0.0606736080128191,208.0,-0.1417698497151492,-0.099356214276435
783.0,0.9895891489709427,-0.5693151107028408,142,-0.2023778020586112,0.0989075005839243,299.0,-0.3105906792016135,-0.1255044892718756,487.0,0.0272021884565633,0.4191081622706374,,,,494.0,0.455441181026797,0.5334149710335961,262.0,-0.0723703310227503,0.5061777507249617,,,,473.0,0.1835746424785777,-0.5530671911327172,,,,603.0,0.5936168200059776,0.0861873681886176,225.0,-0.1378031998568608,-0.2758027815192678,600.0,-0.2080576296936594,-0.1625609191991974,,,,,,,206.0,0.0026848887468537,0.0939775442259001,209.0,-0.1017749524473959,-0.1058761601446533
,,,147,-0.0454691867473738,0.1467772076455609,302.0,0.0777886329947768,-0.2900648607299841,503.0,-0.0826040294591892,0.3787225707872901,,,,501.0,0.7933445469754048,0.3193059867488055,272.0,-0.2114599398540177,0.720809968671962,,,,482.0,0.4714880776315012,-0.291415488270425,,,,628.0,0.5315766870524707,-0.0418038119321276,236.0,0.0462788744659065,-0.2586351129323675,636.0,-0.3352760192256667,0.0203547699326555,,,,,,,213.0,-0.0767433526824787,0.1157255207729025,214.0,0.0342901438924546,0.0043660470581307
,,,151,-0.0502635296967087,0.1368072571267975,326.0,-0.2133840999692908,-0.1984795907452825,560.0,-0.0269250742278566,0.3718867612762166,,,,502.0,0.5434846731288837,0.7901592208652574,278.0,-0.0753655686364552,0.4279198612174958,,,,495.0,0.6179973628821528,-0.1362767563757463,,,,659.0,0.5031307032475483,0.128562567215051,238.0,-0.022135725031186,-0.2191098736239189,668.0,-0.5770940648980766,-0.6637683312375711,,,,,,,215.0,-0.0708570432914697,0.2360644219746989,219.0,-0.1582855066935208,-0.0326457457185683
,,,152,-0.0823649185038343,0.2013499459655926,330.0,-0.0748542410368748,-0.3586719648635841,562.0,-0.0484735132979592,0.2602715690389639,,,,513.0,0.5198479030787314,0.6347777478793255,280.0,-0.1073592828113655,0.4349249873440195,,,,504.0,0.3155167615752867,-0.4989995497195427,,,,666.0,0.2421501116769488,-0.0433471533442318,253.0,-0.1438891884338661,-0.2273132148934754,743.0,-0.1574759293848242,-0.2517302397158233,,,,,,,220.0,-0.2728455105911963,0.1739730920140494,240.0,-0.0499204027466253,-0.0011765019342526
,,,155,-0.1377448496491715,0.1705607537970909,335.0,-0.1821087612475392,-0.1297238387810827,571.0,0.3289440800687565,0.5170500417178239,,,,553.0,0.6100016692888468,0.5868493090954415,292.0,-0.0974639832372171,0.6127750446327992,,,,506.0,0.3837038466275871,-0.5529919101611219,,,,700.0,0.5841759793665923,0.1777882847208618,268.0,-0.021049191407288,-0.1561628108282407,785.0,-0.4957529851309274,-0.0308730139655013,,,,,,,242.0,-0.0577909111411528,0.1837060536647083,251.0,-0.0893809199005057,-0.3290804500425691
