idx,canonicalsmiles,NumAtoms,NumHeavyAtoms,NumHeteroatoms,NumRotatableBonds,RingCount,NumAromaticRings,NumAromaticCarbocycles,NumHAcceptors,MolWt,HeavyAtomMolWt,TPSA,MolLogP,MolMR,Asphericity,Eccentricity,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,FractionCSP2
225.0,C/C=C/CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
226.0,C=C=CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
227.0,[Na][O]B(CB([O][Na])[O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
228.0,[Na][O]B(/C=C\c1ccccc1)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
229.0,[Na][O]B([O][Na])C(Cl)Cl,,,,,,,,,,,,,,,,,,,,,,,
230.0,C[C@H]1CCC[C@@H]1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
231.0,CCCCCCCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
232.0,CC(C)/C=C/B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
233.0,[Na][O]B(CCl)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
234.0,O=C([B]C(=O)[O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
235.0,N#CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
236.0,O=CCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
237.0,CC(B([O][Na])[O][Na])c1ccccc1,,,,,,,,,,,,,,,,,,,,,,,
238.0,[Na][O]B([O][Na])C1CCCCCC1,,,,,,,,,,,,,,,,,,,,,,,
239.0,[Na][O]B([O][Na])c1ccc2c(c1)=CC=2,,,,,,,,,,,,,,,,,,,,,,,
240.0,O=Cc1csc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
241.0,CC/C=C/B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
242.0,Cn1ccc(B([O][Na])[O][Na])c1,,,,,,,,,,,,,,,,,,,,,,,
243.0,CC(C)(C)C#CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
244.0,C#CB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
245.0,[Na][O]B([O][Na])c1ncccn1,,,,,,,,,,,,,,,,,,,,,,,
246.0,[Na][O]B([O][Na])C1=COCO1,,,,,,,,,,,,,,,,,,,,,,,
247.0,[Na][O]B(/C=C/c1cccs1)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
248.0,[Na][O]B([O][Na])c1cc[nH]c1,,,,,,,,,,,,,,,,,,,,,,,
249.0,CCC(C)(CC)B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
250.0,N#Cc1ccncc1B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
251.0,[2H]C([2H])([2H])B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
252.0,CCOC(=O)/C=C/B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
253.0,CC(C)CC/C=C/B([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
254.0,[Na][O]B(/C=C/C1CC1)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
255.0,[Na][O]B([O][Na])c1ccns1,,,,,,,,,,,,,,,,,,,,,,,
256.0,CN(C)[B]C(=O)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
257.0,[B]c1ccc(C(=O)[O][Na])cc1,,,,,,,,,,,,,,,,,,,,,,,
258.0,CC=CCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
259.0,[Na][O]B(/C=C/Br)[O][Na],,,,,,,,,,,,,,,,,,,,,,,
260.0,CC(C)(C)CCCB([O][Na])[O][Na],,,,,,,,,,,,,,,,,,,,,,,
261.0,[Na][O]B([O][Na])C1C=CCCC1,,,,,,,,,,,,,,,,,,,,,,,
